First-Order Group,Priority,SMARTs
NHC(=O),4,[NH1;!$(*(C)C)][CH0;!$(*(N)N)]=[O]
CH2Cl,14,[CH2;!R][Cl]
CHCl,14,[CH1;!R][Cl]
CCl,14,[CH0;!R][Cl]
CHCl2,13,[CH1;!R]([Cl])([Cl])
CCl2,13,[CH0]([Cl])([Cl])
CCl3,12,[CH0]([Cl])([Cl])([Cl])
CH2F,13,[CH2]([F])
CHF,13,[CH1]([F])
CF,13,[CH0;!R]([F])
CHF2,12,[CH1]([F])([F])
CF2,12,[CH0;!R]([F])([F])
CF3,11,[CH0]([F])([F])([F])
CFCl2,5,[CH0]([Cl])([Cl])([F])
HCClF,5,[CH1]([Cl])([F])
CClF2,5,[CH0]([Cl])([F])([F])
ACCl,3,[cH0][Cl]
ACF,3,[cH0][F]
ACI,3,[cH0][I]
ACBr,3,[cH0][Br]
I,18,[I]
Br,18,[Br]
F,18,[F]
Cl,18,[Cl]
CH=NOH,4,[CH1;!$(*c)]=[NH0][OH1]
C=NOH,4,[CH0]=[NH0][OH1]
ACCH=NOH,3,[cH0][CH1]=[NH0][OH1]
OCH2CH2OH,14,[OH0;!$(OC=O);!R][CH2;!R][CH2;!R][OH1]
OCHCH2OH,14,[OH0;!$(OC=O);!R][CH1;!R][CH2;!R][OH1]
OCH2CHOH,14,[OH0;!$(OC=O);!R][CH2;!R][CH1;!R][OH1]
O-OH,16,[OH0][OH1]
CH2SH,4,[CH2;!R;!$(*c)][SH1]
CHSH,4,[CH1;!R][SH1]
CSH,4,[CH0;!R][SH1]
ACSH,4,[cH0][SH1]
SH,5,[SH1;$(*[A;R])]
CH3S,4,[CH3;!R][SH0]
CH2S,5,[CH2;!R][SH0]
CHS,5,[CH1;!R][SH0]
CS,5,[CH0;!R][SH0]
ACS,4,[cH0][SH0;!$(*(=O));!$(*(=O)(=O))]
S=O,3,[SH0;!$(*c);!$(*(=O)=O);!$(*(O)O)]=[OH0]
S(=O)2,3,[SH0;!R;!$(*c);!$(*O)](=[OH0])(=[OH0])
OS(=O)O,3,[OH0][SH0;!$(*(=O)=O)](=[OH0])([OH0])
S(=O)2O,3,[OH0][SH0;!$(*(O)O)](=[OH0])(=[OH0])
OS(=O)2O,3,[OH0][SH0](=[OH0])(=[OH0])[OH0]
ACS=O,3,[cH0][SH0;!$(*(=O)(=O))]=[OH0]
ACSO2,3,[cH0][SH0](=[OH0])(=[OH0])
PH(phosphine),3,[PH1;D2]
P(phosphine),3,[PH0;D3]
PO3(phosphite),3,[PH0;!$(*(=O))]([OH0])([OH0])[OH0]
PHO3(phosphonate),3,[P;D3](=[OH0])([OH0])[OH0]
PO3(phosphonate),3,[PH0;D4;!$(*(O)(O)(O))](=[OH0])([OH0])[OH0]
PHO4(phosphate),3,[PH0](=[O])([OH1])([OH0])[OH0]
PO4(phosphate),3,[PH0](=[O])([OH0])([OH0])[OH0]
ACPO4,2,[cH0][OH0][PH0](=[O])([OH0])[OH0]
ACP,2,[cH0][PH0]
OC(=O)O,2,[OH0][C](=[O])[OH0]
C2H3O,2,[CH1]1[CH2][OH0]1
C2H2O,2,[CH0]1[CH2][OH0]1
C2O,2,[CH0]1[CH0][OH0]1
CH2(cyclic),17,[CH2;R]
CH(cyclic),17,[CH1;R]
C(cyclic),18,[CH0;R]
CH=CH(cyclic),2,[CH1;R]=[CH1;R]
CH=C(cyclic),2,[CH1;R]=[CH0;R]
C=C(cyclic),2,[CH0;R]=[CH0;R]
CH2=C(cyclic),2,[CH2;R]=[CH0;R]
NH(cyclic),15,"[n,N;H1;R]"
N(cyclic),15,"[n,N;H0;R]"
CH=N(cyclic),14,[cH1;R]:[nH0;R]
C=N(cyclic),14,[CH0;R]=[NH0;R]
O(cyclic),18,"[o,O;H0;R]"
C=O(cyclic),17,[CH0;R]=[OH0]
S(cyclic),19,"[s,S;R]"
SO2(cyclic),18,"[s,S;R](=O)=[O]"
NH,18,[NH1;D2]
O,19,"[o,OH0;D2]"
S,19,[SH0;!R]
C=O,17,[CH0;D3;!R]=[OH0]
PO2,4,[P]([O])[O]
CHN,9,[CH1][NH0;!R]
SiHO,3,[SiH1][O]
SiO,3,[SiH0][O]
SiH2,4,[SiH2]
SiH,4,[SiH1]
Si,4,[SiH0]
(CH3)3N,4,[NH0]([CH3])([CH3])[CH3]
N=N(cyclic),10,[NH0;R]=[NH0;R]
C(cyclic)=N,14,[CH0;R]=[NH0;!R]
C(cyclic)=CH,2,[CH0;R]=[CH1;!R]
C(cyclic)=NH,14,[CH0;R]=[NH1;!R]
N=O,8,[NH0]=[OH0]
C(cyclic)=C,2,[CH0;R]=[CH0;!R]
P=O,8,[PH0]=[OH0]
N=N,10,[NH0;!R]=[NH0;!R]
C=NH,14,[CH0;D3]=[NH1]
C=S,5,[CH0;D3]=[SH0]
ACC(=O)N,2,[cH0][CH0](=[O])[NH0]
AC=O,14,[cH0]=[OH0]
AN,15,[nH0]
Na,19,[Na]
K,19,[K]
HC(=O)NH,7,[CH1](=[OH0])[NH1;!$(*([CH1])[CH2])]
CHOCH,18,[CH1][OH0][CH1]
C2HO,2,[CH1]1[CH0][OH0]1
SiH3,4,[SiH3]
SiH2O,4,[SiH2][O]
C=C=C,2,[CH0]=[CH0]=[CH0]
CH=C=C,2,[CH1]=[CH0]=[CH0]
OP(=S)O,2,[OH0][P](=[S])[OH0]
CF2(cyclic),12,[CH0;R]([F])[F]
CF(cyclic),12,[CH0;R;!$(*(F)F)][F]
H-H,2,[2H]-[2H]
H-O-H,2,[2H]-[#8]-[2H]
N#N,2,[#7]#[#7]
O=O,2,[#8]=[#8]
SS,2,[#16]-[#16]
